,FPR,TPR,FNR,TNR
0,0.110835185,0.736842105,0.263157895,0.889164815
1,0.163115933,0.842105263,0.157894737,0.836884067
2,0.180368579,0.8451417,0.1548583,0.819631421
3,0.179192262,0.860323887,0.139676113,0.820807738
4,0.145079075,0.810728745,0.189271255,0.854920925
5,0.14194223,0.814777328,0.185222672,0.85805777
6,0.182329107,0.867408907,0.132591093,0.817670893
7,0.136322049,0.793522267,0.206477733,0.863677951
8,0.10978957,0.739878543,0.260121457,0.89021043
9,0.155796628,0.825910931,0.174089069,0.844203372
10,0.124297477,0.780364372,0.219635628,0.875702523
11,0.102339563,0.711538462,0.288461538,0.897660437
12,0.159979088,0.839068826,0.160931174,0.840020912
13,0.172657169,0.850202429,0.149797571,0.827342831
14,0.163377336,0.840080972,0.159919028,0.836622664
15,0.133969416,0.79048583,0.20951417,0.866030584
16,0.108743955,0.741902834,0.258097166,0.891256045
17,0.146386093,0.817813765,0.182186235,0.853613907
18,0.130832571,0.79048583,0.20951417,0.869167429
19,0.129656254,0.784412955,0.215587045,0.870343746
20,0.171219448,0.853238866,0.146761134,0.828780552
21,0.156188733,0.822874494,0.177125506,0.843811267
22,0.128872043,0.775303644,0.224696356,0.871127957
23,0.126388707,0.794534413,0.205465587,0.873611293
24,0.13213959,0.785425101,0.214574899,0.86786041
25,0.121160633,0.774291498,0.225708502,0.878839367
26,0.173964188,0.854251012,0.145748988,0.826035812
27,0.163377336,0.836032389,0.163967611,0.836622664
28,0.136191348,0.80465587,0.19534413,0.863808652
29,0.158279963,0.841093117,0.158906883,0.841720037
30,0.12377467,0.774291498,0.225708502,0.87622533
31,0.133969416,0.794534413,0.205465587,0.866030584
32,0.141550124,0.820850202,0.179149798,0.858449876
33,0.145863286,0.819838057,0.180161943,0.854136714
34,0.141680826,0.80465587,0.19534413,0.858319174
35,0.103646582,0.720647773,0.279352227,0.896353418
36,0.16010979,0.824898785,0.175101215,0.83989021
37,0.1258659,0.775303644,0.224696356,0.8741341
38,0.125212391,0.756072874,0.243927126,0.874787609
39,0.158541367,0.832995951,0.167004049,0.841458633
40,0.130440465,0.79048583,0.20951417,0.869559535
41,0.163769442,0.853238866,0.146761134,0.836230558
42,0.11815449,0.748987854,0.251012146,0.88184551
43,0.118807999,0.767206478,0.232793522,0.881192001
44,0.140504509,0.825910931,0.174089069,0.859495491
45,0.176447523,0.855263158,0.144736842,0.823552477
46,0.111357992,0.730769231,0.269230769,0.888642008
47,0.125343092,0.784412955,0.215587045,0.874656908
48,0.165337864,0.831983806,0.168016194,0.834662136
49,0.134884329,0.786437247,0.213562753,0.865115671
0,0.114886943,0.74291498,0.25708502,0.885113057
1,0.137106261,0.808704453,0.191295547,0.862893739
2,0.144817671,0.819838057,0.180161943,0.855182329
3,0.168997517,0.839068826,0.160931174,0.831002483
4,0.127565024,0.786437247,0.213562753,0.872434976
5,0.123513266,0.768218623,0.231781377,0.876486734
6,0.158149262,0.816801619,0.183198381,0.841850738
7,0.116586067,0.758097166,0.241902834,0.883413933
8,0.150045746,0.819838057,0.180161943,0.849954254
9,0.156972945,0.826923077,0.173076923,0.843027055
10,0.133969416,0.788461538,0.211538462,0.866030584
11,0.132008888,0.788461538,0.211538462,0.867991112
12,0.130179062,0.778340081,0.221659919,0.869820938
13,0.105084303,0.727732794,0.272267206,0.894915697
14,0.17971507,0.855263158,0.144736842,0.82028493
15,0.181675598,0.862348178,0.137651822,0.818324402
16,0.136583453,0.809716599,0.190283401,0.863416547
17,0.166514181,0.851214575,0.148785425,0.833485819
18,0.134884329,0.802631579,0.197368421,0.865115671
19,0.1258659,0.771255061,0.228744939,0.8741341
20,0.139197491,0.803643725,0.196356275,0.860802509
21,0.182198405,0.855263158,0.144736842,0.817801595
22,0.125996602,0.775303644,0.224696356,0.874003398
23,0.170304535,0.855263158,0.144736842,0.829695465
24,0.148085218,0.821862348,0.178137652,0.851914782
25,0.159586982,0.817813765,0.182186235,0.840413018
26,0.133969416,0.792510121,0.207489879,0.866030584
27,0.110835185,0.744939271,0.255060729,0.889164815
28,0.120507123,0.754048583,0.245951417,0.879492877
29,0.150829957,0.844129555,0.155870445,0.849170043
30,0.139851,0.805668016,0.194331984,0.860149
31,0.134100118,0.801619433,0.198380567,0.865899882
32,0.141680826,0.820850202,0.179149798,0.858319174
33,0.180760685,0.863360324,0.136639676,0.819239315
34,0.141811528,0.802631579,0.197368421,0.858188472
35,0.13775977,0.803643725,0.196356275,0.86224023
36,0.127826428,0.775303644,0.224696356,0.872173572
37,0.132923801,0.784412955,0.215587045,0.867076199
38,0.125604496,0.78340081,0.21659919,0.874395504
39,0.192654555,0.868421053,0.131578947,0.807345445
40,0.189125604,0.862348178,0.137651822,0.810874396
41,0.128741341,0.781376518,0.218623482,0.871258659
42,0.109397464,0.738866397,0.261133603,0.890602536
43,0.11540975,0.748987854,0.251012146,0.88459025
44,0.141158019,0.803643725,0.196356275,0.858841981
45,0.163900144,0.841093117,0.158906883,0.836099856
46,0.181022089,0.870445344,0.129554656,0.818977911
47,0.137106261,0.810728745,0.189271255,0.862893739
48,0.142072932,0.812753036,0.187246964,0.857927068
49,0.142987845,0.807692308,0.192307692,0.857012155
